Disease,symptoms
Neurofibroma,neurofibroma might no symptoms symptoms they're mild when neurofibroma grows skin symptoms bump skin bump color your skin pink tan pain bleeding pain tingling numbness weakness change appearance when large neurofibroma face neurofibromas genetic condition known neurofibromatosis 1 nf1 nf1 neurofibromas number neurofibromas increases age
Neurofibromatosis type 1,neurofibromatosis 1 nf1 diagnosed childhood symptoms birth shortly afterward almost age 10 symptoms tend mild moderate they vary symptoms freckling armpits groin freckling ages 3 5 freckles smaller cafe au lait spots tend clusters skin folds tiny bumps iris eye known lisch nodules these nodules can't easily don't affect vision bone changes changes bone development low bone mineral density bones irregular nf1 curved spine known scoliosis bowed lower leg tumor nerve connects eye brain called optic pathway glioma tumor age 3 tumor rarely late childhood teenagers almost learning disabilities it's common nf1 trouble learning there specific learning disability trouble reading math attention-deficit hyperactivity disorder adhd speech delay common larger average head size nf1 tend larger average head size increased brain volume short stature who nf1 below average height
Sleep terrors (night terrors),sleep terrors differ nightmares nightmare bad dream who nightmare wakes up dream remember details who sleep terror remains asleep don't remember their sleep terrors morning recall dream they sleep terrors sleep terrors generally happen sleep rarely naps sleep terror sleepwalking sleep terror start screaming shouting crying sit up bed scared stare wide-eyed sweat breathe heavily racing pulse flushed face enlarged pupils kick thrash hard wake up confused awakened comforted soothed possibly out bed run house aggressive behavior blocked held back
Nightmare disorder,you're likely nightmare half your night nightmares rarely frequently several times night episodes generally brief they you awaken returning sleep difficult nightmare involve these features your dream vivid real upsetting becoming disturbing dream unfolds your dream storyline related threats safety survival disturbing themes your dream awakens you you sweaty pounding heartbeat bed you think clearly awakening recall details your dream your dream distress keeps you falling back sleep easily frequent occurrences problems concentration memory you can't stop thinking images your dreams daytime sleepiness fatigue low energy problems functioning work school social situations behavior problems related bedtime fear dark having nightmare disorder significant sleep disturbance distress parents caregivers frequently persist routinely disrupt sleep fear going sleep daytime behavior problems difficulty functioning
Nonallergic rhinitis,nonallergic rhinitis symptoms come go year-round your symptoms might nonallergic rhinitis doesn't itchy nose eyes throat symptom linked allergies hay fever stuffy runny nose sneezing mucus throat cough
Nonmelanoma skin cancer,nonmelanoma skin cancer symptoms change skin growth skin itching pain crusting bleeding skin spot sore won't heal keeps coming back
Norovirus infection,signs symptoms norovirus infection start suddenly norovirus infection no signs symptoms they're contagious spread virus others nausea vomiting stomach pain cramps watery loose diarrhea ill low-grade fever muscle pain
Overactive bladder,you overactive bladder you sudden urge urinate that's hard control lose urine meaning urgent need urinate called urgency incontinence urinate mean eight times 24 hours wake up night urinate called nocturia you toilet when you urge urinate having urinate night disrupt your life
Obsessive-compulsive disorder (OCD),obsessive-compulsive disorder obsessions compulsions it's possible only obsession symptoms only compulsion symptoms you know your obsessions compulsions reason they up great deal reduce your quality life your daily routines responsibilities
Obstructive sleep apnea,symptoms obstructive sleep apnea loud snoring observed episodes stopped breathing sleep waking night gasping choking awakening morning dry mouth sore throat morning headaches trouble focusing
Pediatric obstructive sleep apnea,sleep symptoms pediatric obstructive sleep apnea snoring pauses breathing restless sleep snorting gasping coughing choking mouth breathing nighttime sweating bed-wetting starts long period dry overnights infants young obstructive sleep apnea don't snore they might disturbed sleep sleep apnea might headaches morning breathe mouth trouble breathing nose trouble learning paying attention poorly school behavior issues acting hyper impulsive aggressive poor weight gain talk sleepy fall asleep school short car bus rides
Ocular rosacea,signs symptoms ocular rosacea precede skin symptoms rosacea later their own signs symptoms ocular rosacea red burning itchy watering eyes dry eyes grittiness having foreign eye eyes blurred vision sensitivity light photophobia dilated small blood vessels white eye visible when you mirror red swollen eyelids recurrent eye eyelid infections pink eye conjunctivitis blepharitis sties chalazia severity ocular rosacea symptoms doesn't match severity skin symptoms
Oppositional defiant disorder (ODD),it's difficult recognize difference strong-willed emotional oppositional defiant disorder it's common oppositional behavior certain stages development symptoms ofoddgenerally begin preschool years sometimesoddmay later almost early teen years oppositional defiant behaviors frequent ongoing they severe problems relationships social activities school work family angry irritable mood easily loses temper frequently touchy easily annoyed others angry resentful argumentative defiant behavior argues authority actively defies refuses follow requests rules annoys upsets purpose blames others their own mistakes misbehavior hurtful revengeful behavior says mean hateful when upset tries hurt feelings others seeks revenge called being vindictive severity oddcan mild moderate severe mild symptoms only setting only home school work peers moderate symptoms least settings severe symptoms settings symptoms only home problem behavior happen settings school social activities friends
