Disease,Symptoms
Selective deficiency of IgA,"Many people with selective IgA deficiency have no symptoms.; If a person does have symptoms, they may include frequent episodes of:; Other symptoms include:; Bronchitis (airway infection); Chronic diarrhea; Conjunctivitis (eye infection); Gastrointestinal inflammation, including ulcerative colitis, Crohn disease, and a sprue-like illness; Mouth infection; Otitis media (middle ear infection); Pneumonia (lung infection); Sinusitis (sinus infection); Skin infections; Upper respiratory tract infections; Bronchiectasis (a disease in which the bronchial tubes in the lungs become damaged and enlarged); Asthma without a known cause"
Polymorphous light eruption,"Polymorphous means taking on different forms, and eruption means rash. As the name suggests, symptoms of PMLE are rash-like and are different in different people.; PMLE most often occurs in spring and early summer on areas of the body exposed to the sun.; Symptoms usually appear within 1 to 4 days after exposure to sunlight. They include any of the following:; Small bumps (papules) or blisters; Redness or scaling of the skin; Itching or burning of the affected skin; Swelling, or even blisters (not often seen)"
Livedo reticularis,"In most cases, LR affects the legs. Sometimes, the face, trunk, buttocks, hands and feet are involved as well. Usually, there is no pain. However, if blood flow is completely blocked, pain and skin ulcers can develop."
Albinism,"A person with albinism may have one of these symptoms:; Many forms of albinism are associated with the following symptoms:; No color in the hair, skin, or iris of the eye; Lighter than normal skin and hair; Patches of missing skin color; Crossed eyes; Light sensitivity; Rapid eye movements; Vision problems, or functional blindness"
Dermatitis herpetiformis,"Symptoms include:; Most people with DH have damage to their intestines from eating gluten. But only some have intestinal symptoms.; Extremely itchy bumps or blisters, most often on the elbows, knees, back, and buttocks.; Rashes that are usually the same size and shape on both sides.; The rash can look like eczema.; Scratch marks and skin erosions instead of blisters in some people."
Dermatoses - systemic,
Asherman syndrome,"The adhesions may cause:; However, such symptoms could be related to several conditions. They are more likely to indicate Asherman syndrome if they occur suddenly after a D&C or other uterine surgery.; Amenorrhea (lack of menstrual periods); Repeated miscarriages; Infertility"
Endometritis,"Symptoms may include:; Swelling of the abdomen; Abnormal vaginal bleeding or discharge; Discomfort with bowel movement (including constipation); Fever; General discomfort, uneasiness, or ill feeling; Pain in lower abdomen or pelvic region (uterine pain)"
Placental insufficiency,"A woman with placental insufficiency usually does not have any symptoms. However, certain diseases, such as preeclampsia, which can be symptomatic, can cause placental insufficiency."
Trachoma,"Symptoms begin 5 to 12 days after being exposed to the bacteria. The condition begins slowly. It first appears as inflammation of the tissue lining the eyelids (conjunctivitis, or ""pink eye""). Untreated, this may lead to scarring.; Symptoms may include:; Cloudy cornea; Discharge from the eye; Swelling of lymph nodes just in front of the ears; Swollen eyelids; Turned-in eyelashes"
Vaginismus,The main symptoms are:; Women with vaginismus often become anxious about sexual intercourse. This does not mean they cannot become sexually aroused. Many women with this problem can have orgasms when the clitoris is stimulated.; Difficult or painful vaginal penetration during sex. Vaginal penetration may not be possible.; Vaginal pain during sexual intercourse or a pelvic exam.
Miscarriage,"Possible symptoms of miscarriage may include:; Some women may not have any symptoms at the beginning.; Low back pain or abdominal pain that is dull, sharp, or cramping; Tissue or clot-like material that passes from the vagina; Vaginal bleeding, with or without abdominal cramps"
Bartholin cyst or abscess,"Symptoms may include:; A tender lump on either side of the vaginal opening; Swelling and redness; Pain with sitting or walking; Fever, in people with low immunity; Pain with sexual intercourse; Vaginal discharge; Vaginal pressure"
Breast infection,"Symptoms of a breast infection may include:; Breast enlargementÂ or fullness on one side only; Breast lump; Breast pain; Fever and flu-like symptoms, including nausea and vomiting; Itching; Nipple discharge (may contain pus); Swelling, tenderness, and warmth in breast tissue; Skin redness, most often in wedge shape; Tender or enlarged lymph nodes in armpit on the same side"
Cervical dysplasia,"Most of the time, there are no symptoms."
Adhesion,"Adhesions in joints, tendons, or ligaments make it harder to move the joint. They may also cause pain.; Adhesions in the belly (abdomen) may cause a blockage of the intestines. Symptoms include:; Adhesions in the pelvis may cause long-term (chronic) pelvic pain.; Bloating or swelling of your belly; Constipation; Nausea and vomiting; No longer being able to pass gas; Pain in the belly that is severe and crampy"
Cervical polyps,"Polyps do not always cause symptoms. When symptoms are present, they may include:; Very heavy menstrual periods; Vaginal bleeding after douching or intercourse; Abnormal vaginal bleeding after menopause or between periods; White or yellow mucus (leukorrhea)"
Cervicitis,"There may be no symptoms. If symptoms are present, these may include:; Women who may be at risk for chlamydia should be tested for this infection, even if they do not have symptoms.; Abnormal vaginal bleeding that occurs after intercourse, or between periods; Unusual vaginal discharge that does not go away: discharge may be gray, white or yellow in color; Painful sexual intercourse; Pain in the vagina; Pressure or heaviness in the pelvis; Painful urination; Vaginal itching"
Choriocarcinoma,"A possible symptom is abnormal or irregular vaginal bleeding in a woman who recently had a hydatidiform mole or pregnancy.; Other symptoms may include:; Irregular vaginal bleeding; Pain, which may be associated with the bleeding, or due to enlargement of the ovaries that often occurs with a choriocarcinoma"
Hyperemesis gravidarum,"Morning sickness can cause decreased appetite, low level nausea, or vomiting. This is different from true hyperemesis because people are typically still able to eat and drink fluids some of the time.; Symptoms of hyperemesis gravidarum are much more severe. They may include:; Severe, persistent nausea and vomiting during pregnancy; Salivating a lot more than normal; Weight loss; Signs of dehydration, such as dark urine, dry skin, weakness, lightheadedness, or fainting; Constipation; Inability to take in adequate amounts of fluid or nutrition"
